SEQ1,SEQ2,euclidean,harmonicmean,chisquare,hellinger
EDL933,S88,115460.57908654364,2.6272620677106414E7,113007.64578717542,0.009446709457051514
MG1655,Sakai,232436.26308517353,2.5388534393707465E7,444200.21258507506,0.022191039223248096
CB9615,DH10B,178295.0965674603,2.5131230997591943E7,278818.0048161233,0.01034126807979636
F2a301,IAI39,133776.27432769982,2.4433108507742386E7,152751.98451523203,0.010272572522416293
S88,UMN026,46393.67545258728,2.5576870673723374E7,17250.652553261873,0.005562505601075915
CFT073,DH10B,146831.27738326055,2.4831592842510145E7,222642.31497971804,0.02000893709892598
F5b8401,HS,37160.857915285,2.3037342587643307E7,13551.824713374743,0.010910646539884184
D1Sd197,SSSs046,118295.34985788749,2.291835348819887E7,135285.02360224267,0.015578221791657972
536,S88,28251.26531679599,2.4924505659344103E7,6480.681311798643,0.0046066615368957065
B4Sb227,DH10B,61560.778877463854,2.29954304787747E7,38125.04245061354,0.01585695093063037
F5b8401,S88,117538.22717737408,2.3956745466992334E7,118751.06601535047,0.01001756671210189
ATCC8739,F2a2457T,137235.2547416297,2.3753594531423304E7,158388.9371533956,0.03794804792813082
B4Sb227,IAI1,75619.11583720085,2.3100553373420674E7,57319.253158670625,0.018906749564808912
536,F2a301,82621.308310871,2.391177153198535E7,59111.936029306016,0.011080033628166546
CFT073,Sakai,106500.64133140232,2.7112533829996046E7,89324.34000790713,0.02221338055198533
HS,Sakai,235329.4502203241,2.5307350306629345E7,460844.3867412998,0.019728035153972187
ATCC8739,ED1a,159739.24647061536,2.518032616532084E7,222846.6693583231,0.03932250521264926
536,UMN026,70327.93402340211,2.5333230402560655E7,38031.19487868871,0.006206715840875997
UTI89,W3110,112140.32363962573,2.4304354115887083E7,119637.76822583971,0.012131871591382662
IAI1,UTI89,89945.4673121442,2.4540786038944047E7,74957.92211191189,0.007990183433357816
DH10B,IAI1,22567.566461628066,2.354197736669786E7,5465.266604281791,0.006794824438883563
F2a2457T,UTI89,115618.5672978177,2.4340057344848763E7,119001.31030247496,0.014436516928859498
Sakai,SMS35,134385.80671335795,2.652925616372958E7,141787.67254084212,0.014652373211080696
IAI1,IAI39,105740.52220412002,2.469358292220774E7,103074.15558452182,0.008898932163461024
ATCC8739,HS,138987.2663124216,2.3708400546773367E7,163751.90645326625,0.03828541793667521
CFT073,S88,69434.42310554614,2.577697209946181E7,62889.80107638133,0.01727792811298025
ED1a,SMS35,50908.31870136746,2.5768401019429814E7,24880.961140356878,0.009815307113308755
EDL933,SSSs046,171092.95456271718,2.5689771144371353E7,243706.71125730468,0.015177079472895752
F2a2457T,F2a301,45611.35258902108,2.323340941087633E7,23356.178247339543,0.01576238211913664
F5b8401,SMS35,128281.12824574002,2.4035838585046872E7,141314.8299062738,0.012393068138701814
CFT073,F2a2457T,159709.59565411214,2.4753487401274268E7,250879.1974514608,0.0228051749453409
F2a2457T,SMS35,113991.76345683928,2.4266506717391044E7,110748.56521790374,0.016125749472232432
EDL933,F5b8401,229222.49426048918,2.4961689605187867E7,445119.7896242665,0.01431028190252521
B4Sb227,F2a301,44345.85927682539,2.2882537325386234E7,22080.349227525632,0.012591285051979284
BW2952,ED1a,162562.55795539144,2.4433188164492823E7,244306.67101436073,0.013839330182371537
CB9615,IAI39,73136.29302883761,2.6449237012939014E7,43625.9741219909,0.010941663544736113
F2a2457T,UMN026,146448.5072167006,2.4567623486190315E7,176765.0276193699,0.016913005232278944
IAI1,SSSs046,51651.3406989596,2.3878165769147515E7,29094.46170496221,0.016029395077715464
IAI1,SE11,43939.50243232165,2.403974325477896E7,17189.490442078404,0.006925381730220412
BW2952,D1Sd197,81899.55016970485,2.2334425059822336E7,67891.88035531741,0.02207007472464788
B4Sb227,E234869,117775.3592310378,2.3648273999890823E7,129694.00021836217,0.01627740387237116
ED1a,S88,55781.032735151115,2.5675992320624813E7,28948.358750382522,0.008331197325443086
ATCC8739,CB9615,184919.9564622488,2.5590379198584594E7,294093.6028308126,0.038043216500625636
E234869,EDL933,132357.733604803,2.608988028475595E7,144738.43048810438,0.009034456498860567
CFT073,UTI89,58528.4853383376,2.5954890039669693E7,43157.920660624186,0.015712935718674145
MG1655,SE11,56715.25703900142,2.3885860212000906E7,28240.575998189273,0.0065407418877458205
F2a301,SMS35,115420.64354785066,2.420996907311783E7,109966.85376434017,0.012208838639463898
CB9615,E234869,113701.89058234695,2.5915436689053897E7,107662.62189222002,0.008355742208143849
B18BS512,UTI89,134624.84778078675,2.42052134719062E7,166419.05618760738,0.021855050537174847
F5b8401,Sakai,256297.55312917056,2.5096725936581284E7,536348.1268374468,0.021542308333156637
F5b8401,W3110,39707.29681053597,2.3043670807005294E7,15150.385989427687,0.011574563250920827
ATCC8739,B18BS512,152752.69446396027,2.3619931527748883E7,203444.94450224665,0.04262338135381122
CFT073,F2a301,159063.9751766565,2.4703416193837695E7,237164.61232461288,0.015002189233747434
ATCC8739,E24377A,137908.7410427635,2.463222545991882E7,162841.08016235934,0.03961074006058315
E234869,F2a2457T,89927.20552758215,2.402783811847601E7,73585.76304796773,0.016211793523509165
B18BS512,IAI1,71224.12622138653,2.3343049629095457E7,53076.74180907805,0.022169290592994707
ATCC8739,DH10B,136736.91053991238,2.381788142381296E7,157789.15237410332,0.03865800381520758
E24377A,SMS35,23720.66643245927,2.5200248400350958E7,4979.199298097497,0.005847108428032945
CFT073,EDL933,75039.33521160753,2.695105102439999E7,50988.951200036376,0.016991620090535245
D1Sd197,DH10B,100347.65801950736,2.2588800987759862E7,98384.0244802812,0.021817334902103497
F2a2457T,S88,105921.42948431162,2.418305616024043E7,96899.67951913,0.01627061075261123
ED1a,IAI1,126607.72613470317,2.486664026447962E7,146086.47104075816,0.012152360539968238
B4Sb227,D1Sd197,58494.320972210626,2.2203702513435677E7,37586.973128639445,0.016722236038008233
BW2952,SMS35,119516.08393015561,2.4051573841070786E7,129344.31785843111,0.007068222071449421
APEC01,Sakai,130603.03239588275,2.6739109360288452E7,127618.2794231007,0.02040702163246596
APEC01,SE11,71744.53381965765,2.5064535050928067E7,55458.898143878396,0.014570921921323381
536,ATCC8739,130403.98993895853,2.4456759512247853E7,144538.97550429738,0.038378503712202465
CFT073,E24377A,74543.62960038906,2.5727340395936426E7,64887.20812713419,0.01634488649864666
B4Sb227,SE11,101910.76417140635,2.347127549421513E7,93691.01156973817,0.015265774496762701
DH10B,MG1655,17445.69164579037,2.3394763999089334E7,3177.0018213395733,0.005737254658589413
IAI1,SMS35,83315.79386886979,2.4469990633462485E7,61194.73307503615,0.005929334693475921
F2a2457T,W3110,57175.45380668176,2.3250135934238512E7,32990.131522977084,0.018805324272831738
B18BS512,E24377A,117207.97613643877,2.4008122513374742E7,127230.97325050182,0.02178164609840129
D1Sd197,F2a2457T,104702.6243988182,2.2516134289050408E7,115743.42189916616,0.027661317528435567
E234869,ED1a,70999.20593217928,2.5501271618816536E7,44639.76236692986,0.008074157158758189
CB9615,UTI89,87930.5700425057,2.627200930938778E7,64371.38122442932,0.011893639629227125
HS,IAI39,128061.76245468434,2.4447357309027795E7,153086.38194440978,0.011893952121916011
F2a301,IAI1,46678.89738414994,2.3413635509869695E7,20317.980260626075,0.012900679646346714
SE11,UMN026,77688.92067727547,2.5197854285175387E7,51533.429649221616,0.004984274157020919
B4Sb227,BW2952,48071.06320854574,2.2732342393803153E7,25057.212393699847,0.015968834950315862
UMN026,W3110,136002.31075242802,2.4539793509356435E7,161654.98128713167,0.007039267921780066
DH10B,E24377A,82767.56541061238,2.4214989218710992E7,63741.56257801302,0.009484399262206256
B18BS512,ED1a,162547.1171722218,2.4532202358067263E7,235278.28386547367,0.018997125848494157
ED1a,SSSs046,111024.52581749675,2.5119121999294963E7,107689.00141008,0.01433133502068505
APEC01,BW2952,138369.58638010017,2.4224120897000905E7,189787.2059981775,0.015109408041875352
B4Sb227,SSSs046,77397.02693256376,2.3333343098269366E7,58305.80346125968,0.009493609310993252
536,UTI89,42253.40327121592,2.508763691973265E7,16322.160534689952,0.0058964067321534905
B4Sb227,E24377A,132259.49756444714,2.375036325084453E7,161999.4983109569,0.019100809725065095
APEC01,DH10B,114429.03945677426,2.4523729855496682E7,129813.28900663117,0.01452007240890253
D1Sd197,UMN026,215970.32535512836,2.3723184103408206E7,409623.79318358074,0.02240743936832958
MG1655,UTI89,111095.73135363932,2.4372461883220848E7,114891.23355830222,0.01491624698984657
CFT073,IAI39,48612.15352152175,2.6127115731377166E7,32416.53724566575,0.01550733018512242
F2a301,Sakai,240965.94985806604,2.5291326744534243E7,464059.5109315239,0.019149686278423644
B18BS512,SMS35,128800.73370909033,2.4137273068594646E7,146945.8628107144,0.020698810295852615
HS,UMN026,137080.4434228311,2.4531816955319032E7,163353.08936192218,0.007068917973372363
B4Sb227,EDL933,243613.02770787937,2.479151883938039E7,513211.3212392243,0.018697504194933077
APEC01,MG1655,120336.88143707231,2.4483651754566E7,142694.490868001,0.016599538422899247
APEC01,UTI89,38394.45739947369,2.5614116374406464E7,16150.251187075499,0.01207155458709161
B18BS512,B4Sb227,29972.362569540626,2.283463615985377E7,9469.680292464986,0.006949194961684141
DH10B,SSSs046,51220.908972801335,2.3763817286409583E7,28351.427180832517,0.013826355766429318
CFT073,UMN026,52373.4789182464,2.621396520549591E7,37903.58900818933,0.01811953470521326
B4Sb227,HS,53270.50712167099,2.289359162745092E7,28803.74509816634,0.0149513663969006
APEC01,W3110,123117.11986153672,2.4413237409636617E7,152054.18072677506,0.015307870330275265
CB9615,IAI1,168331.36562150263,2.526132348701839E7,248073.02596320672,0.011544732062304846
B4Sb227,S88,132849.34004352448,2.380090356855672E7,158184.8628865813,0.01478444408892492
B18BS512,Sakai,253436.2468906135,2.5205496938972082E7,527306.1220558427,0.028145149978898845
IAI39,S88,39032.54754688707,2.5488426438823566E7,14953.122352873039,0.0077706771785075075
DH10B,S88,86358.32753128097,2.4261983291976515E7,67019.41604696543,0.007432465469528033
E24377A,IAI1,68623.0790040785,2.4339850015692215E7,43459.96861557721,0.00553958788237364
S88,SMS35,20399.611761011533,2.5249400135749627E7,3941.728500748702,0.005711715622796798
BW2952,IAI1,40734.95010430233,2.3266552375122946E7,17071.24975411129,0.006860347148365876
536,MG1655,71712.25870797824,2.400406626256737E7,49078.47486525455,0.01126345018314775
EDL933,UTI89,102056.53578776814,2.6454629899359312E7,85093.2012813928,0.009535187147313409
F2a2457T,Sakai,237589.39605967267,2.5351792570106436E7,456984.85978713026,0.022547156992257643
ED1a,IAI39,29927.84681529896,2.6021354281633098E7,8038.436733811618,0.007020200880767927
ATCC8739,Sakai,227339.0347960508,2.5900729835169338E7,420656.3296613243,0.0425350323584166
S88,W3110,94857.75954554272,2.4154646805535376E7,82948.38892925771,0.00788376676314042
E234869,W3110,79161.39748640115,2.399867081329002E7,61150.37341997195,0.00921868958470857
CB9615,SSSs046,150117.9089049671,2.552369890566088E7,189888.1886782342,0.012521504875281676
CB9615,F2a301,197352.49637387414,2.498766195587614E7,324125.08824772557,0.013515324684425392
EDL933,Sakai,50928.36379661141,2.766828834806405E7,19230.303871898734,0.012347397747764641
EDL933,UMN026,75939.19638105213,2.6728345358870063E7,50558.282259875275,0.009289529067115682
B18BS512,CFT073,168411.92213142157,2.4626658228625868E7,282267.54274828156,0.02314768989775564
ATCC8739,W3110,139157.71333993672,2.3715134281429492E7,164539.4371410158,0.03849213738681664
B4Sb227,CB9615,222170.95980348106,2.4639218418957144E7,431849.1620857161,0.01509431085350501
E24377A,Sakai,145594.41086113162,2.6378502139982697E7,165279.72003461543,0.012965980227484636
E24377A,HS,92478.94300325886,2.4099926764322817E7,80867.47135436181,0.010310504591669404
F5b8401,IAI1,56235.78958279149,2.3250222828465678E7,30230.343068636397,0.013474756953731891
E24377A,UMN026,56159.59925070691,2.552463838159792E7,24449.236804153323,0.00823272510924259
B18BS512,BW2952,56394.30465924728,2.2967376429708917E7,35739.14058216301,0.019508908104741974
SE11,W3110,59927.683819750615,2.3817817436127692E7,32857.12774462558,0.004963559795599273
ATCC8739,BW2952,145789.03047211748,2.353650397506145E7,181300.04987710374,0.03836474791376792
E24377A,ED1a,61542.20232490872,2.5624590192931402E7,34486.61413719896,0.009066384326661472
ATCC8739,D1Sd197,191334.58717126917,2.2942468252115924E7,324621.49576816865,0.04574685044604689
CB9615,Sakai,77677.60283376412,2.7463364177759126E7,43115.64448173683,0.017322760608149614
CFT073,D1Sd197,227602.1704817421,2.3900354244635314E7,501125.5107293852,0.025458060150904713
536,Sakai,166538.2829802205,2.6168365333497416E7,216319.3330051764,0.015742444665735024
F2a2457T,F5b8401,55554.26532679557,2.307018763469049E7,32886.73061901123,0.01769380163225065
IAI39,SE11,72144.80214124924,2.510900103842141E7,50053.923157169585,0.01066773939217618
ED1a,MG1655,144872.8931097878,2.4696253656865247E7,190144.68626950766,0.016091514976868948
ATCC8739,SE11,128151.5701113334,2.433159292504806E7,137622.14990388087,0.037861099449555485
B18BS512,HS,54153.173341919675,2.3132438562058292E7,31859.87588340439,0.018437105076607962
B4Sb227,MG1655,56899.56554315683,2.2964611020905726E7,32488.958188560406,0.014682213860741191
E234869,HS,79556.45738090655,2.3991565506093536E7,61105.98781293037,0.00862883246160221
IAI1,W3110,29186.44322283892,2.3440713079100247E7,9249.841799517208,0.007547443140135266
536,SMS35,37421.05503590191,2.5012513175911453E7,11215.648177096085,0.005331011148252099
E24377A,W3110,91799.56663296401,2.4107282736817945E7,80410.52636410386,0.010630898696473238
B4Sb227,SMS35,144520.6615816576,2.3877160595642485E7,186420.80871503582,0.01760814305605813
ATCC8739,B4Sb227,161212.91873171952,2.3368076014114E7,226405.97177199044,0.04184221111744176
CB9615,UMN026,53943.856536217354,2.6546824726261757E7,27636.54747646358,0.006729185620432814
F2a2457T,IAI1,54470.145768117785,2.3466401679637197E7,28642.640725605906,0.016617332188431484
APEC01,E234869,55617.63996251549,2.527086627541037E7,32796.44917926246,0.01260788052413596
CB9615,MG1655,181576.48116152047,2.509278775727275E7,288429.48545449675,0.0100268885235127
S88,Sakai,145512.49812988573,2.6426652331801314E7,166245.33639737236,0.016592542034989742
B18BS512,F5b8401,34092.4168401127,2.2969221615899764E7,12548.768200467097,0.011237995028101654
536,IAI39,57723.10993007913,2.524788938208306E7,29527.235833882452,0.006272597716078728
BW2952,W3110,18794.192347637607,2.3059376370070755E7,3239.259858482236,0.0028046096370069693
APEC01,D1Sd197,198106.05079350807,2.3609840537002582E7,373597.9259948314,0.023940425778395887
B18BS512,W3110,57063.21923971693,2.313807458464062E7,34842.830718765144,0.01926371565969789
IAI39,MG1655,125694.18336979639,2.452419277052259E7,145139.45895481782,0.014757586094955
D1Sd197,ED1a,222217.5977797438,2.3808746552564166E7,448439.89487165556,0.023102084228063608
ATCC8739,UMN026,153468.45527338836,2.5088309262042053E7,196939.47591588934,0.03791811548782633
E234869,S88,23726.606921344654,2.4991819401027154E7,4603.197945690222,0.004874136129603589
F2a301,W3110,41787.86042620512,2.32006272677406E7,18150.464518804583,0.013983992649338464
ATCC8739,UTI89,143907.13599401526,2.484031253959463E7,180036.92081073194,0.03958526738504931
E24377A,IAI39,40039.29769613848,2.5439794333586935E7,14951.33282613565,0.005772656044123979
S88,UTI89,27526.041197382525,2.532505469191213E7,7986.616175749164,0.007538960484171569
F2a2457T,IAI39,130512.35350724467,2.4491273682482194E7,150278.63503561122,0.014347147809148178
APEC01,F2a2457T,132841.95891735412,2.4441408330992475E7,166482.33801503477,0.021373919473677984
B18BS512,SE11,88373.2500590535,2.372303101863788E7,70929.9627242499,0.018411227593542457
F2a301,F5b8401,23955.027676878188,2.3026419566531897E7,6565.866936214113,0.006901851367898347
HS,SMS35,104643.75914979355,2.423003208530516E7,98672.82938967925,0.007677733870577501
CB9615,SE11,127914.29495564598,2.570172275411129E7,145090.49177741515,0.007888762687043903
536,BW2952,88166.19211466491,2.3754707393129207E7,75827.2137415835,0.008864984457384047
B4Sb227,ED1a,181768.13755716375,2.4260614541068245E7,297703.9178635163,0.017380033934861
IAI1,S88,76624.76573536784,2.438375065229205E7,52924.69541590428,0.008317488584856153
CB9615,EDL933,35173.701781302465,2.7299491615495402E7,9559.769009199163,0.007909859821032754
D1Sd197,HS,92015.07092319171,2.2490208744508926E7,82569.51098214142,0.021319868991935
536,HS,73584.07268560228,2.392924880536649E7,52989.38926703182,0.008812712731494516
D1Sd197,E24377A,172224.8874466173,2.3316996806224704E7,275732.38755059004,0.024346557491269263
E234869,F5b8401,100870.21980743375,2.380362986613814E7,91232.26772372045,0.010768539646478505
EDL933,F2a301,215525.21111461648,2.515054770165384E7,384316.59669233597,0.01341517672884617
ATCC8739,MG1655,137218.7386000906,2.37838067733481E7,158663.4533038032,0.03841870355615984
APEC01,S88,43131.87639090143,2.544327380911805E7,21731.381763902322,0.012134236630566132
536,B18BS512,97650.52217986343,2.3842041588878505E7,90158.82224298616,0.019326798909916308
536,ED1a,76834.81267628627,2.543145796626699E7,51517.0674660175,0.007563752526968739
E234869,SMS35,32406.991961612235,2.508022953297116E7,8532.934057682554,0.0056977110538238614
B4Sb227,UMN026,174725.287093769,2.4172586796902593E7,263818.4061948159,0.015948437800908707
E234869,IAI1,59571.1109179609,2.4226101781171754E7,34472.437656494876,0.008094898591292145
E234869,IAI39,52442.580638256164,2.531661729721239E7,24821.405575225264,0.006986170872305533
HS,W3110,11168.11725404063,2.3223417871283446E7,1401.2574330938298,0.003877829162545269
DH10B,IAI39,118496.62087165186,2.456559703855786E7,129605.92288428145,0.011336307646746042
CFT073,SMS35,66414.86214696226,2.5869749857668415E7,58084.28466318805,0.018271547168820575
HS,IAI1,29947.939444976844,2.3433477523738198E7,9465.952523596095,0.007513299108755546
APEC01,CFT073,64691.95303126966,2.6075142699408296E7,52835.60118341357,0.020449191736825096
APEC01,SSSs046,90442.67786283199,2.4896704042557843E7,79870.91488432312,0.016524300041836738
B18BS512,SSSs046,57484.02096235092,2.358693366515146E7,31874.669697078192,0.009596962057610512
CB9615,S88,95336.85130105777,2.6096690774723712E7,78904.45055257175,0.007676037134243809
DH10B,EDL933,199291.7685129017,2.5291950077392723E7,343342.8452145631,0.013573051647016676
ATCC8739,S88,135217.4891646787,2.4684656645944245E7,155244.7081115042,0.03818735862265055
APEC01,IAI39,40891.525980329956,2.5780539698941194E7,17013.60211762481,0.012793404036850092
536,EDL933,138375.58922367773,2.6016846766180266E7,158055.4676394823,0.008527352036251424
MG1655,UMN026,132092.63935965547,2.4611764419683643E7,149182.16063271213,0.008589149462930962
F2a2457T,SSSs046,72399.32532834819,2.3688214031801246E7,51583.93639751366,0.01983218895861423
B18BS512,IAI39,147429.8116189531,2.4357168227765672E7,196219.54446863936,0.02067105796000557
IAI39,W3110,127446.2922724706,2.445468894462336E7,152678.1107532628,0.01237635106922753
ATCC8739,F2a301,148892.3522717,2.368224660510337E7,187227.7897932568,0.04126588171285778
APEC01,ED1a,46972.77451886358,2.597325893824954E7,20702.12350092559,0.012566548999830486
UMN026,UTI89,43132.30003141497,2.5746446745640267E7,14202.508719448828,0.009398226591571319
BW2952,E234869,94200.04130572343,2.3816187117621835E7,85617.76475634075,0.008598688912061319
D1Sd197,W3110,94036.52955102075,2.249563431861181E7,85973.3627763636,0.0219706051926946
BW2952,MG1655,27797.370649038014,2.3122792378450155E7,7876.243099697852,0.005752548773068728
MG1655,SSSs046,53286.396547336546,2.372941130903772E7,29888.38192455255,0.013627670615732796
BW2952,HS,19342.875148229643,2.3052044747675456E7,3647.5046490925424,0.003810944672040261
F5b8401,UMN026,160240.26130782487,2.4333573583726447E7,214094.83254711019,0.011379633201023363
BW2952,F2a2457T,56754.295661209646,2.3079116492832385E7,34529.01433522248,0.018289863627790226
APEC01,F5b8401,142948.51740749186,2.4213724939914655E7,191079.12017069146,0.014733076756160285
BW2952,UTI89,127045.15586987171,2.411757800825484E7,152689.9834903245,0.011310057549635103
Sakai,W3110,234293.49624776185,2.5315700829696123E7,458398.3406077565,0.019784498703159216
DH10B,Sakai,225499.7982881581,2.5435189442472886E7,418165.1150542298,0.018828564789226485
536,SE11,26551.444292166103,2.456219415917984E7,7353.68164032742,0.007819200426126556
536,W3110,73180.80628142874,2.393635254998636E7,53036.9000272922,0.009350157465131879
Sakai,UTI89,128527.33650861983,2.6615251026884608E7,125151.94623078381,0.013939603621678056
E24377A,EDL933,120798.94371640838,2.6219640418344624E7,121702.16331074777,0.00929300938988496
APEC01,HS,123741.0855132603,2.4405824495713364E7,152625.00857327317,0.01499283843683775
BW2952,DH10B,26454.82859517332,2.3156848840438258E7,7038.319123483667,0.002865970784126453
BW2952,S88,110828.67367247521,2.3969556300457586E7,112629.39908482182,0.007492460370608916
BW2952,IAI39,142717.67488296606,2.4265475186277553E7,190605.627444889,0.011679803584180736
536,E24377A,27901.306779432394,2.4875451776951868E7,7322.446096262158,0.006786836829426845
SMS35,UTI89,21918.435345617167,2.541680861537732E7,5228.769245351169,0.006838943362311974
536,F5b8401,95355.95161289095,2.374177811518381E7,82185.76963238035,0.011390083546023604
D1Sd197,E234869,158633.5049729407,2.321850215454115E7,236237.69091768807,0.02225018748993944
ED1a,F2a2457T,149471.55771918615,2.466301214212145E7,195928.71575710137,0.015619891230850558
SE11,UTI89,58871.1129162682,2.49500631775828E7,34219.64483440812,0.010841430688743985
ED1a,Sakai,97617.19582635019,2.7003838019888725E7,70814.96022256021,0.014007629452534982
DH10B,F5b8401,44029.58898286469,2.3141423396637578E7,18389.206724851032,0.011220724132600713
536,B4Sb227,112055.29876806361,2.3587487421506807E7,118517.15698639618,0.016513486764650684
CB9615,HS,187449.32656854225,2.5008213354243245E7,311854.29151351773,0.01029315786055244
BW2952,UMN026,152532.51445511545,2.434863227696626E7,203477.4460674745,0.006819367018073573
B18BS512,F2a301,43767.896533875144,2.3123497151799485E7,20910.696401022586,0.014946368662588697
CFT073,SE11,102236.90043228032,2.5386757258353006E7,119569.48329397672,0.019859001695145914
ED1a,W3110,147330.89051858743,2.4625085613499496E7,201011.77300100293,0.014413978001242488
F5b8401,MG1655,43675.38275733826,2.3108093444107402E7,17774.11178519223,0.011656444602862215
APEC01,SMS35,42013.969022219266,2.5534292993292455E7,20443.013415089616,0.012987637949676759
536,E234869,16104.647527965335,2.4759621700680546E7,2498.5986389066175,0.004651400871207117
S88,SSSs046,64869.81097552235,2.4625141648071762E7,36708.70385647978,0.012331178141854915
F5b8401,SSSs046,65250.941127312486,2.3478856941414952E7,39528.117170105295,0.008015102303042799
DH10B,SE11,51959.52211096634,2.3921809407242063E7,23617.1855158748,0.005031934124977941
536,APEC01,59317.77146016192,2.5202568831558965E7,36641.336882063995,0.012066788097082636
ED1a,HS,147816.31250305224,2.4617895932788048E7,201136.13442391064,0.013818832061636865
D1Sd197,IAI1,113624.07525696304,2.2689760577484068E7,125904.84503186306,0.02432750906015822
F2a301,HS,39520.14147241884,2.319435693502737E7,16436.129945268232,0.013318981110885347
CB9615,CFT073,64388.805626444104,2.676277518678693E7,41577.62642612181,0.017785372229180054
D1Sd197,SMS35,185385.4764268226,2.343840476648083E7,310932.46703832416,0.02360376417250619
IAI1,MG1655,35326.79630252367,2.350453630650616E7,13072.386987660382,0.010914974247600977
B18BS512,S88,116152.5736176345,2.4060429663747102E7,119882.67250578487,0.017695583009364708
E24377A,F2a301,100213.30739477667,2.4083350365538742E7,85188.26892252402,0.01130131468017652
F2a301,SE11,77752.68073192074,2.378802145773454E7,49362.08453091789,0.013221488706504062
E234869,SE11,29812.24208274178,2.462769782735739E7,9096.345285207355,0.007810377804556668
536,SSSs046,50282.08378736903,2.4397979638777044E7,24532.72244590093,0.013548888768659595
DH10B,UTI89,103113.10595651748,2.4413932369193178E7,99225.26161364485,0.011045373935318343
CFT073,MG1655,152321.14850866902,2.479055467265787E7,237443.65468424978,0.021565351047465986
ATCC8739,F5b8401,151602.1298333239,2.3520014954696853E7,194778.09060627813,0.04004740464279541
CB9615,D1Sd197,262981.26882346586,2.4173695777133565E7,609894.4457328739,0.02135383620604933
Sakai,SE11,177999.5835725466,2.601919286786216E7,257414.26427568347,0.01800630175025621
B18BS512,E234869,102621.83310582598,2.3904242629262343E7,98506.7414753272,0.01907882556274334
E24377A,SE11,40007.35954796317,2.4742418778792694E7,16138.442414605921,0.009109012802150642
B18BS512,EDL933,223340.54996574178,2.5075723000398945E7,425552.99920209066,0.019990857725690342
SSSs046,UTI89,83344.94637349046,2.477994652393057E7,63202.95213885711,0.01598883331717365
DH10B,HS,15155.23206684741,2.3322178088254325E7,2624.8234913581973,0.004208507184804224
CB9615,E24377A,105169.50901283129,2.604061422523032E7,93791.54953936144,0.011370521891588959
F2a301,S88,105628.95771046878,2.4128554445861805E7,92046.10827639505,0.010948329247729167
CB9615,W3110,186607.64990214093,2.5016106875528667E7,310322.2489426715,0.0106535481415549
B18BS512,CB9615,202197.20040594033,2.4919248910969205E7,352538.17806158384,0.01702529090494625
E24377A,UTI89,26765.65732426536,2.5277024366848577E7,6781.2663028425495,0.005507546713158515
F2a2457T,SE11,81611.43227514146,2.384080936157037E7,57643.2768592565,0.017927999531839295
ATCC8739,SMS35,140191.9276634714,2.476953214667765E7,166243.70664471004,0.03871818615148984
ATCC8739,IAI39,150779.8106180002,2.499817497753724E7,198022.04492551653,0.03954988507158094
D1Sd197,MG1655,96500.01317616491,2.255918907125021E7,90332.8574995761,0.020916638176318347
EDL933,SE11,149557.3004002145,2.5870286661779776E7,193925.67644044667,0.011496546686961633
ATCC8739,IAI1,134248.11478005938,2.3935516570433058E7,151958.8591338812,0.03880399034505455
